# GYM — canonical catalog curation worksheet (DRAFT v3, operator review round 3).
# Columns: muscle <TAB> id <TAB> current_name <TAB> action <TAB> canonical_name <TAB> note
# action:
#   KEEP   = stays public canonical (renamed to canonical_name)
#   DEMOTE = move to operator's personal list (is_global=false, created_by=operator), keep a clean name
#   MERGE  = repoint this exercise's training rows into the id named in the note, THEN delete this exercise
# Set counts (sets/users) shown in notes for MERGE rows — all single-user (operator), low risk.
# Counts + merge-map at bottom.
#
# === ABS ===
ABS	71	Abdominal machine	KEEP	Ab Crunch Machine
ABS	77	Incline bench sit ups	KEEP	Incline Sit-Up
# === Back ===
Back	38	Assist chin	KEEP	Assisted Chin-Up
Back	345	Barbell row	KEEP	Bent-Over Barbell Row
Back	58	Barbell shrugs	KEEP	Barbell Shrug
Back	3	Close-grip lat pulldown	KEEP	Close-Grip Lat Pulldown
Back	34	Dumbbell row	KEEP	One-Arm Dumbbell Row
Back	76	Dumbbell row incline	KEEP	Chest-Supported Dumbbell Row
Back	348	Dumbbell shrugs	KEEP	Dumbbell Shrug
Back	47	Hammer front pulldown	KEEP	Iso-Lateral Front Lat Pulldown	r1: vertical iso-lateral lat pulldown, 2 handles
Back	53	Hammer pullover	KEEP	Machine Pullover	r1: keep+rename
Back	352	Hyperextension (back)	KEEP	Back Extension	r1: named distinct from #50 to avoid dup
Back	5	Iso lateral low row	KEEP	Iso-Lateral Low Row
Back	353	Iso lateral low row (traps)	DEMOTE	Iso-Lateral Low Row (Traps)	r1: demote but rename for personal
Back	35	Iso lateral row	KEEP	Iso-Lateral Row
Back	4	Lat pulldown machine	KEEP	Lat Pulldown
Back	67	Lats cable	DEMOTE	Half-Kneeling Single-Arm Cable Row	r1: kneeling cable, pull handle to lat with elbow
Back	240	Neutral-grip pulldown	KEEP	Neutral-Grip Lat Pulldown
Back	33	Power-grip pulldown	KEEP	Parallel-Grip Lat Pulldown
Back	57	Pullover	KEEP	Cable Pullover	r1: cable pullover (lat bar on crossover)
Back	355	Pull ups	KEEP	Pull-Up
Back	147	Row machine	KEEP	Machine Row
Back	6	Seated close-grip row	KEEP	Seated Cable Row (Close Grip)
Back	37	Seated neutral grip row	KEEP	Seated Cable Row (Neutral Grip)
Back	356	Seated single arm row	DEMOTE	Seated Single-Arm Cable Row	r1: niche one-arm copy of #6 -> personal
Back	46	Seated wide grip row	KEEP	Seated Cable Row (Wide Grip)
Back	369	T-Bar row lats	KEEP	T-Bar Row
Back	366	T-Bar row upper back	DEMOTE	T-Bar Row (Upper Back)	r1: demote but rename for personal
Back	17	Wide-grip lat pulldown	KEEP	Wide-Grip Lat Pulldown
# === Biceps ===
Biceps	26	Barbell brachialis curls	MERGE	-> 127	r2: MERGE into 127 then DELETE 26 (59 sets/1 user)
Biceps	23	Bicep curl barbell EZ bar	KEEP	EZ-Bar Curl
Biceps	32	Bicep curl barbell straight bar	KEEP	Barbell Curl
Biceps	75	Biceps curl cable rope	KEEP	Cable Curl (Rope)
Biceps	27	Biceps curl dumbbell standing	DEMOTE	Standing Dumbbell Curl	r1: demote to personal
Biceps	371	Biceps curl dumbbell straight	KEEP	Dumbbell Curl (No Supination)	r1: like #11 but without supination
Biceps	11	Biceps curl dumbbell supinated	KEEP	Dumbbell Curl (Supinated)
Biceps	55	Drag curl cable single arm	DEMOTE	Single-Arm Cable Drag Curl	niche
Biceps	363	Dumbbell brachialis curls	KEEP	Dumbbell Hammer Curl	r1: straight-up hammer curl (not cross-body #10)
Biceps	10	Hammer curl cross body	KEEP	Cross-Body Hammer Curl
Biceps	72	Preacher curl dumbbell	KEEP	Dumbbell Preacher Curl
Biceps	335	Preacher curl machine	KEEP	Machine Preacher Curl
Biceps	127	Reverse curl barbell	KEEP	Reverse Barbell Curl	r2: MERGE TARGET (absorbs 26)
Biceps	362	Side pressure dumbbell	DEMOTE	Side Pressure (Dumbbell)	r2: MERGE TARGET (absorbs 351); personal; 0 sets
# === Chest ===
Chest	7	Bench press	KEEP	Barbell Bench Press
Chest	338	Bench press dumbbell	MERGE	-> 30	r2: flat DB press = dup of #30; MERGE into 30 then DELETE 338 (4 sets)
Chest	20	Bench press incline barbell	KEEP	Incline Barbell Bench Press
